season,week,celebrity_name,fan_vote_share,fan_rank,mean,std,cv,certainty,ci_low,ci_high,ci_width,judge_total,eliminated,week_type,regime
1,1,John O'Hurley,0.41408544041967815,1.0,0.26825096338933374,0.09690681899177565,0.3612543185954086,0.7346165858499066,0.15233352041882176,0.41408544041967815,0.2617519200008564,20.0,False,no_elim,rank
1,1,Kelly Monaco,0.03399020280702581,6.0,0.033990202807025804,4.388541835720876e-18,1.29111963839585e-16,0.9999999999999998,0.033990202807025804,0.03399020280702581,6.938893903907228e-18,13.0,False,no_elim,rank
1,1,Evander Holyfield,0.09239495063597589,4.0,0.07058220247240315,0.017810034296194682,0.25233038460592394,0.7985113291926349,0.056040370363354644,0.09239495063597589,0.03635458027262124,18.0,False,no_elim,rank
1,1,Rachel Hunter,0.25115551535514374,2.0,0.28338682040218344,0.1132910825939538,0.39977541098478314,0.7144003189029237,0.15233352041882176,0.41408544041967815,0.2617519200008564,20.0,False,no_elim,rank
1,1,Joey McIntyre,0.15233352041882178,3.0,0.2659366924021264,0.1119667434504332,0.421027810939029,0.7037159950720389,0.15233352041882176,0.41408544041967815,0.2617519200008564,20.0,False,no_elim,rank
1,1,Trista Sutter,0.05604037036335466,5.0,0.07785311852692736,0.01781003429619466,0.2287645586096161,0.8138255559157158,0.05604037036335466,0.09239495063597586,0.0363545802726212,18.0,False,no_elim,rank
1,2,John O'Hurley,0.4231777988235567,1.0,0.4231777988235568,1.1102230246251565e-16,2.62353797319141e-16,0.9999999999999998,0.4231777988235567,0.4231777988235567,0.0,26.0,False,single_elim,rank
1,2,Kelly Monaco,0.09442373002276022,4.0,0.09442373002276025,2.7755575615628914e-17,2.9394703650172055e-16,0.9999999999999998,0.09442373002276022,0.09442373002276022,0.0,17.0,False,single_elim,rank
1,2,Evander Holyfield,0.05727088726323235,5.0,0.05727088726323236,6.938893903907228e-18,1.2115918288491342e-16,0.9999999999999998,0.05727088726323235,0.05727088726323235,0.0,14.0,False,single_elim,rank
1,2,Rachel Hunter,0.2566703094961919,2.0,0.2566703094961919,0.0,0.0,1.0,0.2566703094961919,0.2566703094961919,0.0,24.0,False,single_elim,rank
1,2,Joey McIntyre,0.15567841214737108,3.0,0.15567841214737108,0.0,0.0,1.0,0.15567841214737108,0.15567841214737108,0.0,21.0,False,single_elim,rank
1,2,Trista Sutter,0.012778862246887705,8.0,0.0127788622468877,5.204170427930421e-18,4.0724833927980565e-16,0.9999999999999996,0.012778862246887705,0.012778862246887705,0.0,19.0,True,single_elim,rank
1,3,John O'Hurley,0.2599927206586828,2.0,0.2545600272970931,0.0,0.0,1.0,0.2545600272970931,0.2545600272970931,0.0,24.0,False,single_elim,rank
1,3,Kelly Monaco,0.09564597678455912,4.0,0.09567243594351943,0.010905149137060696,0.11398423202581139,0.8976787743049758,0.09364740058664171,0.11035394228088241,0.016706541694240698,21.0,False,single_elim,rank
1,3,Evander Holyfield,0.058012217397997876,5.0,0.02089555949038154,1.0408340855860843e-17,4.981125707905509e-16,0.9999999999999996,0.020895559490381528,0.020895559490381528,0.0,13.0,True,single_elim,rank
1,3,Rachel Hunter,0.42865552877716695,1.0,0.4196985316747226,5.551115123125783e-17,1.3226434462315544e-16,0.9999999999999998,0.41969853167472265,0.41969853167472265,0.0,26.0,False,single_elim,rank
1,3,Joey McIntyre,0.1576935563815933,3.0,0.1523734259360942,0.010905149137060699,0.07156857614814242,0.9332113896010252,0.13769191959873106,0.15439846129297186,0.016706541694240795,22.0,False,single_elim,rank
1,4,John O'Hurley,0.2949341624289543,2.0,0.2587927495669378,0.00012059030297765076,0.00046597249412684794,0.9995342445351086,0.2587605204528014,0.25924395716484744,0.000483436712046037,21.0,False,single_elim,rank
1,4,Kelly Monaco,0.4862642270527435,1.0,0.42667711091398164,0.00019881979755943734,0.0004659724941268751,0.9995342445351086,0.4266239740879692,0.4274210264781569,0.0007970523901876803,26.0,False,single_elim,rank
1,4,Rachel Hunter,0.03991499840847566,6.0,0.004615402649369766,0.00046382184344290125,0.10049434007805066,0.9086825470897713,0.0028799402227045272,0.004739364251274425,0.001859424028569898,25.0,True,single_elim,rank
1,4,Joey McIntyre,0.17888661210982665,3.0,0.15696573712368117,7.31417160199782e-05,0.0004659724941268308,0.9995342445351089,0.15694618917782202,0.1572394083657086,0.00029321918788657864,20.0,False,single_elim,rank
1,5,John O'Hurley,0.506480391055654,1.0,0.41408544041967804,1.1102230246251565e-16,2.6811447982810964e-16,0.9999999999999998,0.41408544041967815,0.41408544041967815,0.0,27.0,False,no_elim,rank
1,5,Kelly Monaco,0.3071958857184984,2.0,0.24456738235938902,0.024650536488615073,0.10079241250736938,0.9084364941453531,0.15233352041882178,0.25115551535514374,0.09882199493632196,23.5,False,no_elim,rank
1,5,Joey McIntyre,0.1863237232258476,3.0,0.15892165341457654,0.02465053648861507,0.15511125110377239,0.865717478766175,0.15233352041882178,0.25115551535514374,0.09882199493632196,22.5,False,no_elim,rank
1,6,John O'Hurley,0.37754066879814546,2.0,0.22941619121955698,5.551115123125783e-17,2.419670160862024e-16,0.9999999999999998,0.22941619121955692,0.22941619121955692,0.0,27.0,False,finals,rank
1,6,Kelly Monaco,0.6224593312018546,1.0,0.3782433543066916,1.1102230246251565e-16,2.935208277909234e-16,0.9999999999999998,0.3782433543066915,0.3782433543066915,0.0,27.5,False,finals,rank
2,1,Tatum O'Neal,0.24068690529785797,2.0,0.21436790878493112,0.09588501988693691,0.4472918564650247,0.690945641359771,0.07896296868254218,0.39682562034356583,0.3178626516610237,23.0,False,single_elim,rank
2,1,Tia Carrere,0.03257343049982939,6.0,0.0348136120830149,0.00926437437687635,0.2661135637056264,0.7898185665693584,0.01975678429016513,0.053704507724741016,0.03394772343457589,20.0,False,single_elim,rank
2,1,George Hamilton,0.011983095409314049,8.0,0.01301958726009419,0.0026425460864039287,0.20296696305446563,0.8312780240123052,0.011983095409314049,0.019756784290165134,0.007773688880851086,18.0,False,single_elim,rank
2,1,Lisa Rinna,0.01975678429016513,7.0,0.020001957060351416,0.00494205397528514,0.24707852138536252,0.8018741264897367,0.011983095409314049,0.03257343049982939,0.02059033509051534,19.0,False,single_elim,rank
